name,Wayde van Niekerk,Michael Johnson,Harry Reynolds,Jeremy Wariner,Michael Norman,Steven Gardiner,Quincy Watts,Fred Kerley,LaShawn Merritt,Isaac Makwala,Kirani James,Danny Everett,Randolph Ross,Steve Lewis,Youssef Al-Masrahi,Anthony Zambrano,Akeem Bloomfield,Machel Cedenio,Baboloki Thebe,Michael Cherry,Angelo Taylor,Abdalelah Haroun,Alvin Harrison,Jerome Young,Gary Kikaya,Luguelin Santos,Derek Mills,Nathon Allen,Roberto Hernández,Anthuan Maybank,Otis Harris,Innocent Egbunike,Samson Kitur,Ian Morris,Gil Roberts,Bryce Deadmon,Tony McQuay,Trevor Stewart,Alberto Juantorena,Matthew Hudson-Smith,Vernon Norwood,Alonzo Babers,Antonio Pettigrew,Darold Williamson,Andrew Valmon,Tyree Washington,Derrick Brew,Sanderlei Claro Parrela,Nathan Strother,Gabriel Tiacoh,Alejandro Cárdenas,Thomas Schönlebe,Darnell Hall,Andrew Rock,Iwan Thomas,Deon Lendore,Roger Black,Davis Kamoga,Mark Richardson,Darren Clark,Bralon Taplin,Christopher Brown,Jermaine Gonzáles,David Verburg,Jonathan Borlée,Paul Dedewo,Jonathan Jones,Tyler Christopher,Darrell Robinson,Avard Moncur,Leonard Byrd,Martyn Rooney,Leslie Djhoné,Demish Gaye,Michael Franks,Alleyne Francique,Wilbert London,Roddie Haley,Liemarvin Bonevacia,Roxbert Martin,Derek Redmond,Bert Cameron,Javon Francis,Bryshon Nellum,Jerome Davis,Lalonde Gordon,Renny Quow,Ricardo Chambers,Rabah Yousif,Mohamed Al Malky,Gregory Haughton,Kévin Borlée,Jamie Baulch,Raymond Pierre,Hendrik Mokganyetsi,Michael Blackwood,Nery Brenes,David Neville,Sunday Bada,Kelly Willie,Michael McDonald,Calvin Harrison,Brandon Simpson,Ibrahim Ismail,Ingo Schultz,Milton Campbell,Sunder Nix,Antonio McKay,Eric Milazar,Tim Simon,Willie Smith,Clarence Daniel,Michael Berry,Walter McCoy,Jason Rouser,Kennedy Ochieng,Tabarie Henry,Demetrius Pinder,Pavel Maslák,Danny McCray,Davian Clarke,Jens Carlowitz,Harald Schmid
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4476.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4476.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4487.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480.599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4508.7,,,,,,,,,4510.5
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.6,,,4492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480.599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4506.499999999999,,,4501.5,,,,,,,,,4510.5
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475.6,,,4492.0,,,,,,,,,,4491.0,,,,,,,,,,,,,,,,,,,,,,,4492.7,,,,,,,4479.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4505.0,,,4501.1,,,,,,,,,4510.5
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4491.2,,,,,,,4475.6,,,4492.0,,,,,,,,4460.7,,4485.9,,,,,,,,4493.2,,,,,,,,,4475.9,,,,,,4492.7,,,,,,,4476.2,,,,,,,,,,,,,,,,,,,,,,,,,4495.9,4481.900000000001,,,4505.0,,,4500.6,,,,,,,,,4510.5
1987,,,4440.099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444.8,,,,,,,4475.6,,,4492.0,,,,,,,,4458.9,,4467.8,,,,,,,,4491.200000000001,,,,,,,,,4475.9,,,,,,4484.0,,,4474.799999999999,,,,4473.6,,,,,,,,,,,,,,,,,,,,,,,,,4495.9,4479.0,,,4505.0,,,4500.6,,,,,,,,,4510.5
1988,,,4411.7,,,,,,,,,4432.099999999999,,4440.3,,,,,,,,,,,,,,,4469.400000000001,,,4444.8,,,,,,,4475.6,,,4492.0,,,,,,,,4458.9,,4464.700000000001,,,,,,,,4478.3,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,,4469.2,,,,,,,,,,,,,,,,,,,,,,,,,4495.9,4476.3,,,4502.3,4506.599999999999,,4495.5,,,,,,,,4503.6,4510.5
1989,,,4407.9,,,,,,,,,4430.4,,4435.700000000001,,,,,,,,,,,,,,,4463.3,,,4444.8,,,,,,,4475.6,,,4492.0,,,,,,,,4458.9,,4464.700000000001,,,,,,,,4478.3,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,,4469.2,,,,,,,,4495.4,,,,4500.0,,,,,,,,,,,,,4495.9,4476.3,,4489.200000000001,4502.3,4505.5,,4495.5,,,,,,,,4499.2,4510.5
1990,,,4407.9,,,,,,,,,4424.6,,4435.700000000001,,,,,,,,,,,,,,,4445.3,,,4444.8,,,,,,,4475.6,,,4492.0,,,4465.000000000001,,,,,4458.9,,4464.700000000001,,,,,4502.9,,,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,,4469.2,,,,,,,,4495.4,,,,4500.0,,,,,,,,,,,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,,,,,,,,4499.2,4510.5
1991,,4453.5,4407.9,,,,,,,,,4424.6,,4433.900000000001,,,,,,,,,,,,,,,4441.7,,,4444.8,,4495.2,,,,,4475.6,,,4492.0,4465.9,,4460.8,,,,,4458.9,,4464.700000000001,,,,,4477.999999999999,,,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,,4469.2,,,,,,,,4495.4,,,,4499.1,,,,,,,,,,,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,,,,,,,,4499.2,4510.5
1992,,4430.0,4407.9,,,,4414.5,,,,,4418.7,,4423.800000000001,,,,,,,,,,,,,,,4441.199999999999,,,4444.8,4462.2,4472.7,,,,,4475.6,,,4492.0,4463.799999999999,,4454.700000000001,,,,,4458.9,,4464.700000000001,,,,,4475.400000000001,,,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,4488.699999999999,4469.2,,,,,,,,4495.4,,,,4499.1,,,,,,,,,,,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,,,,,,,,4499.2,4510.5
1993,,4406.1,4403.900000000001,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,,,,,,,4441.199999999999,,,4444.8,4448.0,4471.599999999999,,,,,4475.6,,,4492.0,4459.499999999999,,4450.400000000001,,,,,4458.9,,4464.700000000001,,,,,4475.400000000001,,,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,4488.699999999999,4469.2,,,,,,,,4495.4,,,,4499.1,,,,,,,,,,,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,,,,,,,,4499.2,4510.5
1994,,4400.700000000001,4403.900000000001,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,,,,,4476.9,,4441.199999999999,,,4444.8,4443.8,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,,,,,4458.9,,4464.700000000001,,,,,4474.1,,,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,4488.699999999999,4469.2,,,,,,,,4495.4,,,,4499.1,,,,,4494.6,,,,,,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,,,,,,,,4499.2,4510.5
1995,,4380.400000000001,4402.4,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,,,,,4459.500000000001,,4441.199999999999,,,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,,,,,4458.9,,4464.700000000001,4478.699999999999,,,,4471.3,,,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,4488.699999999999,4469.2,,,,,,,,4495.4,4477.8,,,4499.1,,,,,4486.0,,,,,4501.500000000001,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,,,,,,,,4499.2,4510.5
1996,,4366.7,4399.1,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4475.300000000001,,,,4453.5,,4441.199999999999,4480.400000000001,,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,,,,,4458.9,,4464.700000000001,4467.999999999999,,4489.5,,4456.499999999999,,,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,4488.699999999999,4469.2,,,,,,,,4495.4,4477.599999999999,,,4499.1,,,,,4484.900000000001,,,,,4497.1,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,,,,,,,,4499.2,4510.5
1997,,4365.2,4397.7,,,,4404.9,,,,,4418.7,,4423.800000000001,,,,,,,,,4475.300000000001,4479.799999999999,,,4453.5,,4441.199999999999,4480.400000000001,,4444.8,4440.0,4471.599999999999,,,,,4475.6,,,4492.0,4455.0,,4450.400000000001,,,,,4458.9,,4464.700000000001,4467.999999999999,,4458.9,,4456.499999999999,4461.8,4476.599999999999,4474.4,,,,,,,,,4475.8,,,,,,4482.5,,,4472.799999999999,,,4488.699999999999,4469.2,,,,,,,,4495.4,4476.2,,4492.5,4499.1,,,,,4484.900000000001,,4489.4,,,4497.1,,,4495.9,4476.3,,4483.899999999999,4502.3,4501.100000000001,,4495.5,4499.900000000001,,,,,,4502.7,4499.2,4510.5
